account_id,loan_amount,interest_rate,credit_score,payment_history,balance,region,last_transaction_amount,age,income,account_type,is_anomaly,ai_explanation
1,46410.93,4.14,642,"[0, 0, 0, 1, 0]",45410.93,British Columbia,406.38,68,82666.72,Business,0,This record falls within expected operational limits.
2,166784.04,4.43,593,"[1, 0, 0, 0, 0]",165784.04,Alberta,1601.2,33,38887.82,Business,0,This record falls within expected operational limits.
3,37388.54,5.69,715,"[0, 0, 1, 0, 0]",36388.54,British Columbia,1200.8,68,70207.36,Business,0,This record falls within expected operational limits.
4,56830.03,7.84,469,"[0, 0, 0, 0, 0]",56830.03,Ontario,1240.13,39,113440.29,Business,0,This record falls within expected operational limits.
5,80589.79,3.98,667,"[0, 0, 0, 0, 0]",80589.79,Alberta,998.72,58,69043.87,Business,0,This record falls within expected operational limits.
6,49570.68,6.74,620,"[0, 1, 0, 0, 0]",48570.68,Manitoba,3112.08,70,74640.53,Mortgage,0,This record falls within expected operational limits.
7,80798.69,7.66,591,"[0, 0, 0, 0, 0]",80798.69,British Columbia,3730.88,26,68298.91,Personal,0,This record falls within expected operational limits.
8,63512.37,8.98,511,"[0, 0, 0, 1, 1]",61512.37,British Columbia,306.51,47,22489.48,Business,1,"This record shows an unusually high value compared to normal behavior. It exceeds typical operational ranges and falls beyond established thresholds, indicating a potential data integrity or risk concern."
9,109424.7,5.38,631,"[0, 0, 0, 0, 0]",109424.7,Quebec,1178.27,57,105639.25,Business,0,This record falls within expected operational limits.
10,103905.46,5.39,641,"[0, 0, 0, 0, 0]",103905.46,British Columbia,-336.74,39,127725.85,Personal,0,This record falls within expected operational limits.
11,36100.29,5.75,529,"[0, 0, 0, 0, 0]",36100.29,Quebec,2566.71,55,22018.7,Personal,0,This record falls within expected operational limits.
12,98130.96,4.8,648,"[0, 0, 0, 0, 0]",98130.96,Alberta,-71.61,53,40716.1,Personal,0,This record falls within expected operational limits.
13,79714.28,7.62,661,"[0, 0, 0, 1, 0]",78714.28,Quebec,4272.29,28,70938.98,Personal,0,This record falls within expected operational limits.
14,113201.26,6.09,619,"[0, 0, 0, 0, 0]",113201.26,Ontario,977.47,52,75818.29,Personal,0,This record falls within expected operational limits.
15,124242.97,5.17,720,"[0, 0, 1, 1, 0]",122242.97,British Columbia,1522.46,35,106309.7,Business,0,This record falls within expected operational limits.
16,6584.15,6.1,731,"[0, 0, 1, 0, 0]",5584.15,British Columbia,1713.63,53,65667.77,Personal,0,This record falls within expected operational limits.
17,56659.97,5.4,504,"[0, 1, 0, 0, 0]",55659.97,British Columbia,4509.66,53,46184.88,Business,0,This record falls within expected operational limits.
18,85529.9,6.27,664,"[0, 0, 1, 0, 0]",84529.9,Alberta,-306.3,46,46230.75,Business,0,This record falls within expected operational limits.
19,43143.44,4.24,630,"[0, 0, 0, 0, 0]",43143.44,Quebec,4496.93,58,97053.37,Business,0,This record falls within expected operational limits.
20,44082.26,5.53,617,"[0, 0, 0, 1, 0]",43082.26,British Columbia,2610.25,35,87996.02,Mortgage,0,This record falls within expected operational limits.
21,66315.86,4.69,635,"[0, 1, 0, 0, 0]",65315.86,Quebec,2142.65,33,97219.24,Business,0,This record falls within expected operational limits.
22,45791.77,5.68,660,"[0, 0, 0, 0, 1]",44791.77,British Columbia,4725.22,34,105469.2,Business,0,This record falls within expected operational limits.
23,104323.75,4.72,603,"[0, 0, 0, 0, 1]",103323.75,Ontario,1283.74,63,87099.2,Personal,0,This record falls within expected operational limits.
24,113938.89,5.61,598,"[0, 1, 0, 0, 0]",112938.89,Ontario,1617.5,28,100273.23,Mortgage,0,This record falls within expected operational limits.
25,48427.76,5.42,562,"[0, 0, 0, 1, 0]",47427.76,Ontario,4328.32,25,88887.53,Personal,0,This record falls within expected operational limits.
26,121741.82,4.8,632,"[0, 0, 1, 0, 0]",120741.82,Alberta,-484.76,30,61668.74,Business,0,This record falls within expected operational limits.
27,93944.19,6.88,667,"[0, 0, 0, 0, 0]",93944.19,British Columbia,2377.32,66,115794.68,Business,0,This record falls within expected operational limits.
28,72797.73,3.69,655,"[0, 1, 0, 0, 1]",70797.73,Ontario,2568.04,68,80101.3,Mortgage,0,This record falls within expected operational limits.
29,21906.35,5.25,681,"[0, 0, 1, 0, 0]",20906.35,Ontario,318.0,59,73379.2,Business,0,This record falls within expected operational limits.
30,145602.44,5.74,620,"[0, 0, 0, 0, 0]",145602.44,Ontario,1004.27,67,83765.59,Personal,0,This record falls within expected operational limits.
31,-8806.08,6.34,736,"[1, 0, 0, 0, 0]",-9806.08,Ontario,1973.75,55,74862.37,Business,0,This record falls within expected operational limits.
32,143915.25,5.16,528,"[0, 0, 0, 0, 0]",143915.25,Alberta,3787.46,48,119900.0,Personal,0,This record falls within expected operational limits.
33,183716.63,6.8,734,"[0, 1, 0, 0, 0]",182716.63,Alberta,2328.24,67,114126.99,Mortgage,1,"This record shows an unusually high value compared to normal behavior. It exceeds typical operational ranges and falls beyond established thresholds, indicating a potential data integrity or risk concern."
34,77927.33,5.14,563,"[0, 0, 0, 0, 1]",76927.33,Alberta,1941.88,27,60849.14,Mortgage,0,This record falls within expected operational limits.
35,63401.71,8.19,661,"[0, 0, 1, 1, 0]",61401.71,Manitoba,349.3,37,58483.14,Business,0,This record falls within expected operational limits.
36,117837.52,8.21,624,"[0, 1, 0, 0, 0]",116837.52,Manitoba,2152.52,33,126121.15,Mortgage,0,This record falls within expected operational limits.
37,103047.46,5.33,596,"[0, 0, 1, 0, 0]",102047.46,British Columbia,2702.44,61,92579.66,Business,0,This record falls within expected operational limits.
38,31912.02,4.87,790,"[0, 0, 0, 0, 1]",30912.02,Ontario,1203.35,56,81580.86,Personal,0,This record falls within expected operational limits.
39,12572.92,4.93,631,"[0, 0, 0, 0, 0]",12572.92,Quebec,2195.99,47,47804.17,Business,0,This record falls within expected operational limits.
40,59997.49,7.91,634,"[0, 0, 1, 1, 0]",57997.49,British Columbia,1859.02,59,94038.01,Personal,0,This record falls within expected operational limits.
41,102324.64,4.28,786,"[0, 0, 0, 0, 0]",102324.64,Alberta,2023.93,46,75197.38,Personal,0,This record falls within expected operational limits.
42,126413.89,3.57,776,"[0, 0, 1, 0, 0]",125413.89,British Columbia,4856.72,70,92199.99,Mortgage,1,"This record shows an unusually high value compared to normal behavior. It exceeds typical operational ranges and falls beyond established thresholds, indicating a potential data integrity or risk concern."
43,110241.75,5.13,571,"[0, 0, 1, 0, 0]",109241.75,British Columbia,3276.02,46,101046.34,Mortgage,0,This record falls within expected operational limits.
44,120426.7,6.34,615,"[0, 1, 0, 0, 0]",119426.7,British Columbia,3043.74,39,48642.18,Personal,0,This record falls within expected operational limits.
45,-4243.54,4.6,604,"[0, 0, 0, 0, 0]",-4243.54,Manitoba,1053.23,55,133910.57,Mortgage,0,This record falls within expected operational limits.
46,53803.4,3.77,572,"[1, 0, 0, 0, 0]",52803.4,Quebec,1937.57,38,117828.91,Mortgage,0,This record falls within expected operational limits.
47,95547.47,5.98,543,"[0, 0, 0, 0, 0]",95547.47,British Columbia,904.07,42,65959.47,Mortgage,0,This record falls within expected operational limits.
